"","plant_code","mass_g","site","treatment","greenhouse","leaves_total","leaves_herbivory","proportion_herbivory","month","n.obs.x","X","lat","lon","ele_m","garden_area_m2","num_of_gardenplots","percent_dev_2km","percent_dev_200m","percent_dev_1km","percent_dev_500m","crop_pasture_2km","crop_pasture_200m","crop_pasture_500m","area_km2","country_code","Population.to.polygon.size.rating.for.the.country","Apportionment.confidence.for.the.country","Has.data","pop_den_2022","pop_tot_2022","med_networth_2022","med_houseincome_2022","med_dispincome_2022","tot_households_2022","wealth_index_2022","diversity_index_2022","tot_housingunits_2022","homeowners_growthRate_22_27","renter_hh_2020","tot_businesses_2022","poverty_index_2020","crime_index_2022","renter_occ_Hus_2022","med_age_2022","med_homevalue_2022","mean_homevalue_2022","pop_BA_2022","pop_gradDegree_2022","imp200m","imp500m","imp1km","imp1.5km","imp2km","n.obs.herb","n.obs.pred","n.obs.pol","bee.rare.richness","bee.shannon","bee.simpson.x","scaled_wealth_index_2022","pepper.obs","n.obs.y","bee.simpson.y"
"1","Foo-001",15.1804,"Foothills","uncovered","midroom",79,4,0.05063291139,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,15,6453,112.740638955685
"2","Foo-002",13.093,"Foothills","uncovered","midroom",78,8,0.1025641026,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,3,6453,112.740638955685
"3","Foo-003",18.80905,"Foothills","uncovered","midroom",109,12,0.1100917431,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,6,6453,112.740638955685
"4","Foo-004",14.258,"Foothills","uncovered","backroom",64,9,0.140625,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,8,6453,112.740638955685
"5","Foo-005",15.749625,"Foothills","uncovered","backroom",132,14,0.1060606061,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,8,6453,112.740638955685
"6","Foo-007",9.827,"Foothills","covered","backroom",149,11,0.07382550336,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,2,6453,112.740638955685
"7","Foo-008",14.3302857142857,"Foothills","covered","backroom",78,12,0.1538461538,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,7,6453,112.740638955685
"8","Foo-009",14.7432,"Foothills","covered","midroom",66,5,0.07575757576,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,10,6453,112.740638955685
"9","Foo-010",12.9272,"Foothills","covered","backroom",99,9,0.09090909091,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,5,6453,112.740638955685
"10","For-011",16.6431666666667,"Fortune","uncovered","midroom",81,4,0.04938271605,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,6,2862,107.95078776645
"11","For-012",15.8931666666667,"Fortune","uncovered","backroom",122,12,0.09836065574,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,6,2862,107.95078776645
"12","For-013",19.75875,"Fortune","uncovered","midroom",54,3,0.05555555556,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,4,2862,107.95078776645
"13","For-014",15.11525,"Fortune","uncovered","midroom",111,10,0.09009009009,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,4,2862,107.95078776645
"14","For-015",16.741,"Fortune","uncovered","midroom",137,14,0.102189781,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,3,2862,107.95078776645
"15","For-016",19.698,"Fortune","covered","midroom",102,7,0.06862745098,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,1,2862,107.95078776645
"16","For-017",26.8465,"Fortune","covered","midroom",72,9,0.125,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,2,2862,107.95078776645
"17","For-018",16.43,"Fortune","covered","midroom",124,9,0.07258064516,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,1,2862,107.95078776645
"18","For-020",11.8906666666667,"Fortune","covered","backroom",101,12,0.1188118812,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,3,2862,107.95078776645
"19","Haw-021",17.3008,"Hawthorne","uncovered","midroom",70,5,0.07142857143,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,5,3843,82.0051602577966
"20","Haw-022",10.2324,"Hawthorne","uncovered","midroom",106,11,0.1037735849,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,5,3843,82.0051602577966
"21","Haw-023",9.47942857142857,"Hawthorne","uncovered","backroom",112,8,0.07142857143,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,7,3843,82.0051602577966
"22","Haw-024",16.4705,"Hawthorne","uncovered","midroom",78,6,0.07692307692,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,2,3843,82.0051602577966
"23","Haw-025",21.386,"Hawthorne","uncovered","midroom",83,3,0.03614457831,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,1,3843,82.0051602577966
"24","Haw-027",15.3645,"Hawthorne","covered","backroom",87,9,0.1034482759,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,2,3843,82.0051602577966
"25","Haw-028",16.3426,"Hawthorne","covered","midroom",98,8,0.08163265306,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,5,3843,82.0051602577966
"26","Haw-029",14.911,"Hawthorne","covered","midroom",77,8,0.1038961039,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,2,3843,82.0051602577966
"27","Haw-030",13.8213333333333,"Hawthorne","covered","backroom",93,3,0.03225806452,"August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114,3,3843,82.0051602577966
"28","Hic-031",14.1302,"Hickory","uncovered","backroom",23,3,0.1304347826,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,5,3584,92.2168909109957
"29","Hic-032",13.0920833333333,"Hickory","uncovered","backroom",74,7,0.09459459459,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,12,3584,92.2168909109957
"30","Hic-033",22.311,"Hickory","uncovered","midroom",125,12,0.096,"August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697,1,3584,92.2168909109957
